worker_id,task_id,registered,submitted,scored,score,rank,timestamp
nursoltan-s,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,1,1,100.0,1,2023-01-01 03:00:13+00:00
legacy_worker_000001,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,1,1,99.0,2,2023-01-01 04:00:13+00:00
legacy_worker_000002,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,1,1,98.0,3,2023-01-01 05:00:13+00:00
legacy_worker_000003,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,1,1,97.0,4,2023-01-01 06:00:13+00:00
legacy_worker_000004,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,1,1,96.0,5,2023-01-01 07:00:13+00:00
legacy_worker_000005,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01 08:00:13+00:00
legacy_worker_000006,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01 09:00:13+00:00
legacy_worker_000007,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01 10:00:13+00:00
legacy_worker_000008,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01 11:00:13+00:00
legacy_worker_000009,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01 12:00:13+00:00
legacy_worker_000010,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01 13:00:13+00:00
legacy_worker_000011,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01 14:00:13+00:00
legacy_worker_000012,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01 15:00:13+00:00
legacy_worker_000013,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01 16:00:13+00:00
legacy_worker_000014,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01 17:00:13+00:00
legacy_worker_000015,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01 18:00:13+00:00
legacy_worker_000016,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01 19:00:13+00:00
legacy_worker_000017,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,100.0,1,2023-01-05 14:50:49+00:00
legacy_worker_000018,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,99.0,2,2023-01-05 15:50:49+00:00
legacy_worker_000019,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,98.0,3,2023-01-05 16:50:49+00:00
legacy_worker_000020,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,97.0,4,2023-01-05 17:50:49+00:00
legacy_worker_000021,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,96.0,5,2023-01-05 18:50:49+00:00
legacy_worker_000022,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,95.0,6,2023-01-05 19:50:49+00:00
legacy_worker_000023,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,94.0,7,2023-01-05 20:50:49+00:00
legacy_worker_000024,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,93.0,8,2023-01-05 21:50:49+00:00
legacy_worker_000025,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,92.0,9,2023-01-05 22:50:49+00:00
