worker_id,task_id,registered,submitted,scored,score,rank,timestamp
nursoltan-s,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,1,1,100.0,1,2023-01-01T03:00:13Z
legacy_worker_000001,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,1,1,99.0,2,2023-01-01T04:00:13Z
legacy_worker_000002,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,1,1,98.0,3,2023-01-01T05:00:13Z
legacy_worker_000003,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,1,1,97.0,4,2023-01-01T06:00:13Z
legacy_worker_000004,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,1,1,96.0,5,2023-01-01T07:00:13Z
legacy_worker_000005,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01T08:00:13Z
legacy_worker_000006,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01T09:00:13Z
legacy_worker_000007,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01T10:00:13Z
legacy_worker_000008,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01T11:00:13Z
legacy_worker_000009,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01T12:00:13Z
legacy_worker_000010,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01T13:00:13Z
legacy_worker_000011,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01T14:00:13Z
legacy_worker_000012,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01T15:00:13Z
legacy_worker_000013,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01T16:00:13Z
legacy_worker_000014,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01T17:00:13Z
legacy_worker_000015,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01T18:00:13Z
legacy_worker_000016,0c9d344e-6452-4d0c-a474-34d203f04f6c,1,0,0,0.0,0,2023-01-01T19:00:13Z
legacy_worker_000017,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,100.0,1,2023-01-05T14:50:49Z
legacy_worker_000018,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,99.0,2,2023-01-05T15:50:49Z
legacy_worker_000019,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,98.0,3,2023-01-05T16:50:49Z
legacy_worker_000020,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,97.0,4,2023-01-05T17:50:49Z
legacy_worker_000021,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,96.0,5,2023-01-05T18:50:49Z
legacy_worker_000022,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,95.0,6,2023-01-05T19:50:49Z
legacy_worker_000023,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,94.0,7,2023-01-05T20:50:49Z
legacy_worker_000024,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,93.0,8,2023-01-05T21:50:49Z
legacy_worker_000025,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,92.0,9,2023-01-05T22:50:49Z
legacy_worker_000026,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,91.0,10,2023-01-05T23:50:49Z
legacy_worker_000027,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,90.0,11,2023-01-06T00:50:49Z
legacy_worker_000028,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,89.0,12,2023-01-06T01:50:49Z
legacy_worker_000029,a47ab6c2-23fa-47d3-862d-f4c725245bea,1,1,1,88.0,13,2023-01-06T02:50:49Z
