worker_id,skill_vector,past_tasks_count,past_wins,domain_tags
nursoltan-s,0.529;0.898;0.631;0.827;0.161;0.788;0.420;0.671,12,12,"CSS,Docker,HTML,JSP,Java,JavaScript,Maven,ReactJS"
legacy_worker_000001,-0.804;0.576;0.663;0.616;0.725;0.412;0.820;-0.537,1,0,"CSS,HTML,JavaScript"
legacy_worker_000002,-0.357;-0.537;0.043;0.263;-0.216;0.843;0.239;0.051,1,0,"CSS,HTML,JavaScript"
legacy_worker_000003,0.655;0.412;-0.733;0.678;-0.843;-0.020;0.145;-0.271,1,0,"CSS,HTML,JavaScript"
legacy_worker_000004,-0.420;0.278;0.929;0.898;0.843;-0.357;-0.255;-0.012,1,0,"CSS,HTML,JavaScript"
legacy_worker_000005,0.247;0.404;-0.961;0.647;-0.420;0.396;-0.200;-0.945,1,0,"CSS,HTML,JavaScript"
legacy_worker_000006,0.929;0.600;0.145;-0.694;-0.169;0.796;0.969;-1.000,1,0,"CSS,HTML,JavaScript"
legacy_worker_000007,0.051;0.373;-0.631;0.271;0.012;0.576;0.027;0.835,1,0,"CSS,HTML,JavaScript"
legacy_worker_000008,-0.969;-0.584;0.231;0.357;-0.506;-0.576;-0.475;0.859,1,0,"CSS,HTML,JavaScript"
legacy_worker_000009,0.631;-0.200;-0.514;-0.639;-0.184;0.412;-0.992;-0.271,1,0,"CSS,HTML,JavaScript"
legacy_worker_000010,-0.145;-0.788;0.914;0.490;-0.075;-0.608;0.914;0.647,1,0,"CSS,HTML,JavaScript"
legacy_worker_000011,0.482;-0.294;0.004;0.961;-0.020;-0.231;-0.749;0.678,1,0,"CSS,HTML,JavaScript"
legacy_worker_000012,-0.412;-0.561;0.412;-0.867;0.835;0.875;0.153;0.765,1,0,"CSS,HTML,JavaScript"
legacy_worker_000013,0.427;0.122;-0.867;0.906;-0.796;-0.341;0.859;0.914,1,0,"CSS,HTML,JavaScript"
legacy_worker_000014,0.937;0.420;0.890;0.020;-0.663;-0.161;-0.490;0.004,1,0,"CSS,HTML,JavaScript"
