task_type,task_difficulty,split,strategy,avg_pass_rate
array,H,ood,contract_first,1.0
array,H,ood,failure_mode_first,1.0
array,H,ood,multi_view,1.0
array,H,ood,pattern_skeleton,1.0
array,H,ood,role_decomposed,1.0
array,H,ood,semantic_diff,1.0
array,H,ood,simulation_trace,1.0
array,H,train,contract_first,1.0
array,H,train,failure_mode_first,1.0
array,H,train,multi_view,1.0
array,H,train,pattern_skeleton,1.0
array,H,train,role_decomposed,1.0
array,H,train,semantic_diff,1.0
array,H,train,simulation_trace,1.0
array,M,test,contract_first,1.0
array,M,test,failure_mode_first,1.0
array,M,test,multi_view,1.0
array,M,test,pattern_skeleton,1.0
array,M,test,role_decomposed,1.0
array,M,test,semantic_diff,1.0
array,M,test,simulation_trace,1.0
array,M,train,contract_first,1.0
array,M,train,failure_mode_first,1.0
array,M,train,multi_view,1.0
array,M,train,pattern_skeleton,1.0
array,M,train,role_decomposed,1.0
array,M,train,semantic_diff,1.0
array,M,train,simulation_trace,1.0
array,S,test,contract_first,1.0
array,S,test,failure_mode_first,1.0
array,S,test,multi_view,1.0
array,S,test,pattern_skeleton,1.0
array,S,test,role_decomposed,1.0
array,S,test,semantic_diff,1.0
array,S,test,simulation_trace,1.0
array,S,train,contract_first,1.0
array,S,train,failure_mode_first,1.0
array,S,train,multi_view,1.0
array,S,train,pattern_skeleton,1.0
array,S,train,role_decomposed,1.0
array,S,train,semantic_diff,1.0
array,S,train,simulation_trace,1.0
dp,H,ood,contract_first,1.0
dp,H,ood,failure_mode_first,1.0
dp,H,ood,multi_view,1.0
dp,H,ood,pattern_skeleton,1.0
dp,H,ood,role_decomposed,1.0
dp,H,ood,semantic_diff,1.0
dp,H,ood,simulation_trace,1.0
dp,H,train,contract_first,1.0
dp,H,train,failure_mode_first,1.0
dp,H,train,multi_view,1.0
dp,H,train,pattern_skeleton,1.0
dp,H,train,role_decomposed,1.0
dp,H,train,semantic_diff,1.0
dp,H,train,simulation_trace,1.0
dp,M,test,contract_first,1.0
dp,M,test,failure_mode_first,1.0
dp,M,test,multi_view,1.0
dp,M,test,pattern_skeleton,1.0
dp,M,test,role_decomposed,1.0
dp,M,test,semantic_diff,1.0
dp,M,test,simulation_trace,1.0
dp,M,train,contract_first,1.0
dp,M,train,failure_mode_first,1.0
dp,M,train,multi_view,1.0
dp,M,train,pattern_skeleton,1.0
dp,M,train,role_decomposed,1.0
dp,M,train,semantic_diff,1.0
dp,M,train,simulation_trace,1.0
dp,S,test,contract_first,1.0
dp,S,test,failure_mode_first,1.0
dp,S,test,multi_view,1.0
dp,S,test,pattern_skeleton,1.0
dp,S,test,role_decomposed,1.0
dp,S,test,semantic_diff,1.0
dp,S,test,simulation_trace,1.0
dp,S,train,contract_first,1.0
dp,S,train,failure_mode_first,1.0
dp,S,train,multi_view,1.0
dp,S,train,pattern_skeleton,1.0
dp,S,train,role_decomposed,1.0
dp,S,train,semantic_diff,1.0
dp,S,train,simulation_trace,1.0
graph,H,ood,contract_first,0.5
graph,H,ood,failure_mode_first,0.5
graph,H,ood,multi_view,0.5
graph,H,ood,pattern_skeleton,0.5
graph,H,ood,role_decomposed,0.5
graph,H,ood,semantic_diff,0.5
graph,H,ood,simulation_trace,0.5
graph,H,train,contract_first,0.5
graph,H,train,failure_mode_first,0.5
graph,H,train,multi_view,0.5
graph,H,train,pattern_skeleton,0.5
graph,H,train,role_decomposed,0.5
graph,H,train,semantic_diff,0.5
graph,H,train,simulation_trace,0.5
graph,M,test,contract_first,0.3333333333333333
graph,M,test,failure_mode_first,0.3333333333333333
graph,M,test,multi_view,0.3333333333333333
graph,M,test,pattern_skeleton,0.3333333333333333
graph,M,test,role_decomposed,0.3333333333333333
graph,M,test,semantic_diff,0.3333333333333333
graph,M,test,simulation_trace,0.3333333333333333
graph,M,train,contract_first,0.0
graph,M,train,failure_mode_first,0.0
graph,M,train,multi_view,0.0
graph,M,train,pattern_skeleton,0.0
graph,M,train,role_decomposed,0.0
graph,M,train,semantic_diff,0.0
graph,M,train,simulation_trace,0.0
graph,S,test,contract_first,1.0
graph,S,test,failure_mode_first,1.0
graph,S,test,multi_view,1.0
graph,S,test,pattern_skeleton,1.0
graph,S,test,role_decomposed,1.0
graph,S,test,semantic_diff,1.0
graph,S,test,simulation_trace,1.0
graph,S,train,contract_first,1.0
graph,S,train,failure_mode_first,1.0
graph,S,train,multi_view,1.0
graph,S,train,pattern_skeleton,1.0
graph,S,train,role_decomposed,1.0
graph,S,train,semantic_diff,1.0
graph,S,train,simulation_trace,1.0
mixed,H,ood,contract_first,1.0
mixed,H,ood,failure_mode_first,1.0
mixed,H,ood,multi_view,1.0
mixed,H,ood,pattern_skeleton,1.0
mixed,H,ood,role_decomposed,1.0
mixed,H,ood,semantic_diff,1.0
mixed,H,ood,simulation_trace,1.0
mixed,H,train,contract_first,1.0
mixed,H,train,failure_mode_first,1.0
mixed,H,train,multi_view,1.0
mixed,H,train,pattern_skeleton,1.0
mixed,H,train,role_decomposed,1.0
mixed,H,train,semantic_diff,1.0
mixed,H,train,simulation_trace,1.0
mixed,M,test,contract_first,1.0
mixed,M,test,failure_mode_first,1.0
mixed,M,test,multi_view,1.0
mixed,M,test,pattern_skeleton,1.0
mixed,M,test,role_decomposed,1.0
mixed,M,test,semantic_diff,1.0
mixed,M,test,simulation_trace,1.0
mixed,S,test,contract_first,1.0
mixed,S,test,failure_mode_first,1.0
mixed,S,test,multi_view,1.0
mixed,S,test,pattern_skeleton,1.0
mixed,S,test,role_decomposed,1.0
mixed,S,test,semantic_diff,1.0
mixed,S,test,simulation_trace,1.0
mixed,S,train,contract_first,1.0
mixed,S,train,failure_mode_first,1.0
mixed,S,train,multi_view,1.0
mixed,S,train,pattern_skeleton,1.0
mixed,S,train,role_decomposed,1.0
mixed,S,train,semantic_diff,1.0
mixed,S,train,simulation_trace,1.0
number_theory,H,ood,contract_first,1.0
number_theory,H,ood,failure_mode_first,1.0
number_theory,H,ood,multi_view,1.0
number_theory,H,ood,pattern_skeleton,1.0
number_theory,H,ood,role_decomposed,1.0
number_theory,H,ood,semantic_diff,1.0
number_theory,H,ood,simulation_trace,1.0
number_theory,H,train,contract_first,1.0
number_theory,H,train,failure_mode_first,1.0
number_theory,H,train,multi_view,1.0
number_theory,H,train,pattern_skeleton,1.0
number_theory,H,train,role_decomposed,1.0
number_theory,H,train,semantic_diff,1.0
number_theory,H,train,simulation_trace,1.0
number_theory,M,test,contract_first,1.0
number_theory,M,test,failure_mode_first,1.0
number_theory,M,test,multi_view,1.0
number_theory,M,test,pattern_skeleton,1.0
number_theory,M,test,role_decomposed,1.0
number_theory,M,test,semantic_diff,1.0
number_theory,M,test,simulation_trace,1.0
number_theory,S,test,contract_first,1.0
number_theory,S,test,failure_mode_first,1.0
number_theory,S,test,multi_view,1.0
number_theory,S,test,pattern_skeleton,1.0
number_theory,S,test,role_decomposed,1.0
number_theory,S,test,semantic_diff,1.0
number_theory,S,test,simulation_trace,1.0
number_theory,S,train,contract_first,1.0
number_theory,S,train,failure_mode_first,1.0
