strategy,task_id,task_type,category,task_difficulty,pitfalls,tag_count,split,pass_rate,num_tests,decomposition_steps,tokens_used,planning_time,initial_pass,final_pass,repair_rounds,total_tests_run,subtasks_repaired,localized_repairs,localized_repair_rate,compile_failed,final_status,round_trace_path,subtasks_targeted,contract_completeness,round_traces_json,contract_length,planning_tokens_diag,planning_time_diag,pattern_confidence,view_consistency,num_deltas,critic_comments,trace_length
direct_baseline,array_sum,array,unknown,S,overflow,1,train,1.0,2,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/direct_baseline/array_sum.json,,0.0,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 4.32920060120523e-05, ""failing_tests"": [], ""error_types"": []}]",,,,,,,,
contract_first,array_sum,array,unknown,S,overflow,1,train,1.0,2,7.0,153.0,3.378216,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/array_sum.json,,0.25,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00011970900231972337, ""failing_tests"": [], ""error_types"": []}]",11.0,153.0,3.378216,,,,,
pattern_skeleton,array_sum,array,unknown,S,overflow,1,train,1.0,2,8.0,172.0,7.254548,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/pattern_skeleton/array_sum.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00028500001644715667, ""failing_tests"": [], ""error_types"": []}]",,172.0,7.254548,0.0,,,,
failure_mode_first,array_sum,array,unknown,S,overflow,1,train,1.0,2,7.0,126.0,1.959148,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/failure_mode_first/array_sum.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0002921670093201101, ""failing_tests"": [], ""error_types"": []}]",,126.0,1.959148,,,,,
multi_view,array_sum,array,unknown,S,overflow,1,train,1.0,2,7.0,110.0,4.274395,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/multi_view/array_sum.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0002443749690428376, ""failing_tests"": [], ""error_types"": []}]",,110.0,4.274395,,1.0,,,
semantic_diff,array_sum,array,unknown,S,overflow,1,train,1.0,2,7.0,80.0,2.48999,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/semantic_diff/array_sum.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0006799999973736703, ""failing_tests"": [], ""error_types"": []}]",,80.0,2.48999,,,1.0,,
role_decomposed,array_sum,array,unknown,S,overflow,1,train,1.0,2,8.0,162.0,4.087046,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/role_decomposed/array_sum.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0002851670142263174, ""failing_tests"": [], ""error_types"": []}]",,162.0,4.087046,,,,1.0,
simulation_trace,array_sum,array,unknown,S,overflow,1,train,1.0,2,7.0,49.0,1.977298,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/simulation_trace/array_sum.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00027904199669137597, ""failing_tests"": [], ""error_types"": []}]",,49.0,1.977298,,,,,1.0
direct_baseline,array_sum_test,array,unknown,S,overflow;edge_case,1,test,1.0,2,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/direct_baseline/array_sum_test.json,,0.0,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00032879196805879474, ""failing_tests"": [], ""error_types"": []}]",,,,,,,,
contract_first,array_sum_test,array,unknown,S,overflow;edge_case,1,test,1.0,2,7.0,153.0,3.378216,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/array_sum_test.json,,0.25,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0001883330405689776, ""failing_tests"": [], ""error_types"": []}]",11.0,153.0,3.378216,,,,,
