task_id,dataset_id,status,error_type,failure_signature,failing_tests,last_error,artifact_path
array_sum,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
array_sum_test,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
array_sum_hard,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
array_sum_stress,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
array_sum_ood,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
array_prefix,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
array_prefix_test,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
array_prefix_hard,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
array_prefix_stress,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
array_prefix_ood,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
string_reverse,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
string_reverse_test,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
string_reverse_hard,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
string_reverse_stress,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
string_reverse_ood,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
string_freq,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
string_freq_test,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
string_freq_hard,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
string_freq_stress,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
string_freq_ood,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
graph_edges,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
graph_edges_test,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
graph_edges_hard,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
graph_edges_stress,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
graph_edges_ood,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
graph_degree,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
graph_degree_test,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
graph_degree_hard,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
graph_degree_stress,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
graph_degree_ood,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
dp_fib,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
dp_fib_test,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
dp_fib_hard,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
dp_fib_stress,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
dp_fib_ood,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
dp_coin,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
dp_coin_test,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
dp_coin_hard,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
dp_coin_stress,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
dp_coin_ood,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
number_primes,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
number_primes_test,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
number_primes_hard,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
number_primes_stress,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
number_primes_ood,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
mixed_matrix,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
mixed_matrix_test,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
mixed_matrix_hard,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
mixed_matrix_stress,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
mixed_matrix_ood,experiments_decomposition_benchmark_tasks.json,failed,test_failure,1c7c794d7809150464a766e9ad196e623669ce8e698de83284d4c4b61879f0c4,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_20260223_123724
