task_id,dataset_id,status,error_type,failure_signature,failing_tests,last_error,artifact_path,tests_source
97745303-0ae1-4196-87db-3a03c1909b13,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,error,exception,,,Universal agent response did not include valid JSON.,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,n/a
29f79b9f-32ef-43e5-8298-1028dfbf1136,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,error,exception,,,Universal agent response did not include valid JSON.,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,n/a
65b7f3c8-06a6-422b-92d9-6353fa5c3a2d,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,error,exception,,,Universal agent response did not include valid JSON.,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,n/a
b094c72f-4e9c-4582-9f00-4eec70d7c687,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,failed_architecture_doc,failed_rubric,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,n/a
37515489-2139-4996-9fe6-4ed09ce637be,data_raw_tasks.csv,failed_architecture_doc,failed_rubric,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,n/a
e8231040-e63f-40c4-980c-eb815062aeec,data_raw_tasks.csv,error,exception,,,Universal agent response did not include valid JSON.,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,n/a
30377279,challenge_data_demoData.json,failed_architecture_doc,failed_rubric,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,n/a
305e0763-dd63-4883-9133-55504503953d,data_processed_tasks.csv,error,exception,,,Universal agent response did not include valid JSON.,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,n/a
56b3df85-e4f4-40ab-a975-2a9e6810866e,data_raw_tasks.csv,error,exception,,,Universal agent response did not include valid JSON.,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,n/a
155973f9-8d1b-41d2-b55f-7e7950552118,data_raw_tasks.csv,error,exception,,,Universal agent response did not include valid JSON.,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,n/a
30377290,challenge_data_demoData.json,failed_patch,failed_rubric,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,n/a
c8bb4b8f-d9c5-48d8-b37e-e165cf4cd5f6,data_raw_tasks.csv,failed_architecture_doc,failed_rubric,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,n/a
