task_id,dataset_id,dataset_path,title,task_type,resolved_task_type,status,error_type,pass_rate,pass_at_final,attempt_count,strategy_used,fallback_path,stagnation_events,start_time,end_time,duration_seconds,tests_provided,tests_source,tests_path,router_rationale,router_heuristics,solver_used,solver_name,verifier_type,verifier_name,verifier_score,used_synthesized_tests,self_check_only,self_check_pass_rate,self_check_passed,memory_hint_count,memory_hints_retrieved,artifact_path,unit_test_report_path,deliverable_path,patch_path,repo_log_path,rubric_path,classification_path,verification_path,reflections_path,failure_signature,failing_tests,last_error,llm_calls_used,timed_out,timeout_reason,unit_test_success,deliverable_success
number_primes_test,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,Prime Count (test),algo_coding,algo_coding,success,success,1.0,True,1.0,contract_first,contract_first,0.0,2026-02-24T18:47:03.201344,2026-02-24T18:47:08.766234,5.56489,True,provided,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/extracted_tests/number_primes_test.json,Executable tests were provided,metadata_tests,algo_coding,algo_coding,unit_tests,unit_tests,100.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/unit_tests/number_primes_test.json,,,,,,,,,,,2.0,False,,True,False
694f790b-9a05-494a-a679-212983382fba,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,Message Center - QA and bug fixes,repo_patch,repo_patch,completed_patch,success,0.0,False,0.0,,,0.0,2026-02-24T18:47:08.766370,2026-02-24T18:47:22.316758,13.550388,False,n/a,,Looks like repository/app maintenance task,repo_keywords,repo_patch,repo_patch,rubric_repo_patch,repo_patch,92.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/deliverables/694f790b-9a05-494a-a679-212983382fba_patch.md,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/patches/694f790b-9a05-494a-a679-212983382fba.diff,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/repo_logs/694f790b-9a05-494a-a679-212983382fba.json,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/rubric/694f790b-9a05-494a-a679-212983382fba_repo_patch.json,,,,,,,1.0,False,,False,True
97745303-0ae1-4196-87db-3a03c1909b13,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,Topcoder O/R F2F - Submissions Tab has Winners Marked in it but shouldn't,data_etl,data_etl,error,exception,0.0,False,0.0,,,0.0,2026-02-24T18:47:22.317335,2026-02-24T18:47:35.995790,13.678455,False,n/a,,Mentions ETL/pipeline terminology,data_etl_keywords,data_etl,data_etl,,,0.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,,,,,,,,,,,Universal agent response did not include valid JSON.,0.0,False,,False,False
4fea455b-76f7-4e66-80a6-98b667d98670,data_processed_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.csv,Topcoder O/R F2F - Members cannot download submissions anymore,data_etl,data_etl,completed_data_etl,success,0.0,False,0.0,,,0.0,2026-02-24T18:47:36.004580,2026-02-24T18:47:49.663456,13.658876,False,n/a,,Mentions ETL/pipeline terminology,"function_signature,data_etl_keywords",data_etl,data_etl,rubric_data_etl,data_etl,100.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/deliverables/4fea455b-76f7-4e66-80a6-98b667d98670_etl.md,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/rubric/4fea455b-76f7-4e66-80a6-98b667d98670_data_etl.json,,,,,,,1.0,False,,False,True
string_freq,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,Char Frequency,algo_coding,algo_coding,success,success,1.0,True,1.0,contract_first,contract_first,0.0,2026-02-24T18:47:49.664040,2026-02-24T18:47:54.419876,4.755836,True,provided,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/extracted_tests/string_freq.json,Executable tests were provided,metadata_tests,algo_coding,algo_coding,unit_tests,unit_tests,100.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/unit_tests/string_freq.json,,,,,,,,,,,2.0,False,,True,False
array_prefix_ood,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,Prefix Sum (ood),algo_coding,algo_coding,success,success,1.0,True,1.0,contract_first,contract_first,0.0,2026-02-24T18:47:54.420098,2026-02-24T18:48:01.128364,6.708266,True,provided,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/extracted_tests/array_prefix_ood.json,Executable tests were provided,metadata_tests,algo_coding,algo_coding,unit_tests,unit_tests,100.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/unit_tests/array_prefix_ood.json,,,,,,,,,,,2.0,False,,True,False
29f79b9f-32ef-43e5-8298-1028dfbf1136,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,Topcoder Identity Service Tests Improvement Part 1,data_etl,data_etl,error,exception,0.0,False,0.0,,,0.0,2026-02-24T18:48:01.128623,2026-02-24T18:48:24.990751,23.862128,False,n/a,,Mentions ETL/pipeline terminology,data_etl_keywords,data_etl,data_etl,,,0.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,,,,,,,,,,,Universal agent response did not include valid JSON.,0.0,False,,False,False
65b7f3c8-06a6-422b-92d9-6353fa5c3a2d,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,72 Hours!! - Topcoder Review App - API Integration for My Active Challenge Page,data_etl,data_etl,error,exception,0.0,False,0.0,,,0.0,2026-02-24T18:48:25.003890,2026-02-24T18:48:42.906027,17.902137,False,n/a,,Mentions ETL/pipeline terminology,"function_signature,data_etl_keywords",data_etl,data_etl,,,0.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,,,,,,,,,,,Universal agent response did not include valid JSON.,0.0,False,,False,False
ac7837cd-349d-4a6a-aa97-82f1d19ad557,data_raw_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/raw/tasks.csv,Topcoder Review API - Branch Merge and Code Fixes for Review API,api_backend,api_backend,completed_patch,success,0.0,False,0.0,,,0.0,2026-02-24T18:48:42.911133,2026-02-24T18:49:03.293001,20.381868,False,n/a,,Describes backend/API endpoints,api_keywords,repo_patch,repo_patch,rubric_repo_patch,repo_patch,92.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/deliverables/ac7837cd-349d-4a6a-aa97-82f1d19ad557_patch.md,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/patches/ac7837cd-349d-4a6a-aa97-82f1d19ad557.diff,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/repo_logs/ac7837cd-349d-4a6a-aa97-82f1d19ad557.json,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/rubric/ac7837cd-349d-4a6a-aa97-82f1d19ad557_repo_patch.json,,,,,,,1.0,False,,False,True
b094c72f-4e9c-4582-9f00-4eec70d7c687,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,Test,non_actionable,architecture_doc,failed_architecture_doc,failed_rubric,0.0,False,0.0,,,0.0,2026-02-24T18:49:03.293252,2026-02-24T18:49:15.579591,12.286339,False,n/a,,Insufficient details to act on,missing_statement,architecture_doc,architecture_doc,rubric_architecture_doc,architecture_doc,31.5,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_combined_openai,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/deliverables/b094c72f-4e9c-4582-9f00-4eec70d7c687.md,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_combined_openai/rubric/b094c72f-4e9c-4582-9f00-4eec70d7c687_architecture_doc.json,,,,,,,1.0,False,,False,False
