feature_mode,target,f1,accuracy,precision,recall,roc_auc,log_loss,rmse,mae,r2
multimodal,dropped,0.9882005899705014,0.9972222222222221,1.0,0.9768115942028985,1.0,0.03975495223769213,,,
multimodal,failed,0.9756784282804389,0.9885416666666668,0.9839181286549707,0.9678362573099415,0.9993329179049627,0.098703291235269,,,
multimodal,has_winner,0.995489400090212,0.9930555555555555,0.9924039320822162,0.9986338797814208,0.9994907007957051,0.09663038057542254,,,
multimodal,num_submissions,,,,,,,1.15285951109782,0.8994015552969182,0.9260208829498539
multimodal,starved,0.9882005899705014,0.9972222222222221,1.0,0.9768115942028985,1.0,0.03975495223769213,,,
multimodal,winning_score,,,,,,,7.450871359009342,5.926906674125946,0.9136696432944043
text_metadata,num_submissions,,,,,,,0.39291049207858386,0.33126502923854373,0.9924625438357416
text_metadata,starved,1.0,1.0,1.0,1.0,1.0,0.031278324132714835,,,
text_only,dropped,0.831056466302368,0.9677083333333334,1.0,0.7304347826086958,1.0,0.0925196300940534,,,
text_only,failed,0.8293121225511856,0.9430555555555555,1.0,0.7602339181286549,0.9951207138976769,0.17729345188026502,,,
text_only,has_winner,0.9686222628136246,0.9486111111111111,0.9412262603001899,1.0,0.9999500687054613,0.17049394505521254,,,
text_only,num_submissions,,,,,,,2.100372999748573,1.775763880149973,0.747723640624441
text_only,starved,0.831056466302368,0.9677083333333334,1.0,0.7304347826086958,1.0,0.0925196300940534,,,
text_only,winning_score,,,,,,,12.371689532020026,10.052452843452363,0.7608428437660388
text_time,dropped,0.9640844971969411,0.9920138888888888,1.0,0.9333333333333332,0.9998319183603465,0.058190022923425865,,,
text_time,failed,0.9077157768630327,0.9621527777777779,1.0,0.8406432748538012,0.9971599079666379,0.14035436441558866,,,
text_time,has_winner,0.9861862307071987,0.9784722222222223,0.9742878369883156,0.9986338797814208,0.9994187997315693,0.13005737485445337,,,
text_time,num_submissions,,,,,,,1.5167805315085792,1.1997201884574669,0.8711144097193275
text_time,starved,0.9640844971969411,0.9920138888888888,1.0,0.9333333333333332,0.9998319183603465,0.058190022923425865,,,
text_time,winning_score,,,,,,,10.772611952197916,8.615801173812997,0.817101940386066
