n_disks,strategy,seed,success,moves_taken,optimal_moves,excess_moves,token_estimate,wall_time_sec
4,full_decomposition,0,1,15,15,0,90,2.845900007741875e-05
4,select_then_decompose,0,1,15,15,0,49,2.1207999907346675e-05
4,full_decomposition,1,1,15,15,0,90,1.6667000181769254e-05
4,select_then_decompose,1,1,15,15,0,49,1.8125000224245014e-05
4,full_decomposition,2,1,15,15,0,90,1.6459000107715838e-05
4,select_then_decompose,2,1,15,15,0,49,1.699999984339229e-05
4,full_decomposition,3,1,15,15,0,90,1.6040999980759807e-05
4,select_then_decompose,3,1,15,15,0,49,1.6375000086554792e-05
4,full_decomposition,4,1,15,15,0,90,1.62080000336573e-05
4,select_then_decompose,4,1,15,15,0,49,1.5749999874969944e-05
4,full_decomposition,5,1,15,15,0,90,1.6167000012501376e-05
4,select_then_decompose,5,1,15,15,0,49,1.570900030856137e-05
4,full_decomposition,6,1,15,15,0,90,1.6250000044237822e-05
4,select_then_decompose,6,1,15,15,0,49,1.5874999917286914e-05
4,full_decomposition,7,1,15,15,0,90,1.6375000086554792e-05
4,select_then_decompose,7,1,15,15,0,49,1.62080000336573e-05
4,full_decomposition,8,1,15,15,0,90,1.5874999917286914e-05
4,select_then_decompose,8,1,15,15,0,49,1.6125000001920853e-05
4,full_decomposition,9,1,15,15,0,90,1.5999999959603883e-05
4,select_then_decompose,9,1,15,15,0,49,1.62080000336573e-05
5,full_decomposition,0,1,31,31,0,186,3.28749997606792e-05
5,select_then_decompose,0,1,31,31,0,101,3.266700014137314e-05
5,full_decomposition,1,1,31,31,0,186,3.337499992994708e-05
5,select_then_decompose,1,1,31,31,0,101,3.1832999866310274e-05
5,full_decomposition,2,1,31,31,0,186,3.3166999855893664e-05
5,select_then_decompose,2,1,31,31,0,101,3.2917000226007076e-05
5,full_decomposition,3,1,31,31,0,186,3.245899961257237e-05
5,select_then_decompose,3,1,31,31,0,101,3.266700014137314e-05
5,full_decomposition,4,1,31,31,0,186,3.3458999951108126e-05
5,select_then_decompose,4,1,31,31,0,101,3.1957999908627244e-05
5,full_decomposition,5,1,31,31,0,186,3.2917000226007076e-05
5,select_then_decompose,5,1,31,31,0,101,3.312500030006049e-05
5,full_decomposition,6,1,31,31,0,186,3.204199992978829e-05
5,select_then_decompose,6,1,31,31,0,101,3.3041999813576695e-05
5,full_decomposition,7,1,31,31,0,186,3.312500030006049e-05
5,select_then_decompose,7,1,31,31,0,101,3.195899989805184e-05
5,full_decomposition,8,1,31,31,0,186,3.308299983473262e-05
5,select_then_decompose,8,1,31,31,0,101,3.325000034237746e-05
5,full_decomposition,9,1,31,31,0,186,3.2499999633728294e-05
5,select_then_decompose,9,1,31,31,0,101,3.270900015195366e-05
6,full_decomposition,0,1,63,63,0,378,6.650000023000757e-05
6,select_then_decompose,0,0,189,63,126,398,0.00047933300038494053
6,full_decomposition,1,1,63,63,0,378,6.679099988105008e-05
6,select_then_decompose,1,0,189,63,126,398,0.0004714589999821328
6,full_decomposition,2,1,63,63,0,378,6.620800013479311e-05
6,select_then_decompose,2,0,189,63,126,398,0.0004715840000244498
6,full_decomposition,3,1,63,63,0,378,6.641600020884653e-05
6,select_then_decompose,3,0,189,63,126,398,0.0004750840002998302
6,full_decomposition,4,1,63,63,0,378,6.64589997541043e-05
6,select_then_decompose,4,0,189,63,126,398,0.0004716660000667616
6,full_decomposition,5,1,63,63,0,378,6.620799968004576e-05
6,select_then_decompose,5,0,189,63,126,398,0.0004727499999717111
6,full_decomposition,6,1,63,63,0,378,6.65420002405881e-05
6,select_then_decompose,6,0,189,63,126,398,0.0005388330000641872
6,full_decomposition,7,1,63,63,0,378,7.866700025260798e-05
6,select_then_decompose,7,0,189,63,126,398,0.0005074999999123975
6,full_decomposition,8,1,63,63,0,378,7.02500001352746e-05
6,select_then_decompose,8,0,189,63,126,398,0.000514374999966094
6,full_decomposition,9,1,63,63,0,378,6.879200009279884e-05
6,select_then_decompose,9,0,189,63,126,398,0.000502875000165659
7,full_decomposition,0,1,127,127,0,762,0.00035408300027484074
7,select_then_decompose,0,0,381,127,254,802,0.001096500000130618
7,full_decomposition,1,1,127,127,0,762,0.00014866700030324864
7,select_then_decompose,1,0,381,127,254,802,0.001014958999803639
7,full_decomposition,2,1,127,127,0,762,0.0001338329998361587
7,select_then_decompose,2,0,381,127,254,802,0.0010314999999536667
7,full_decomposition,3,1,127,127,0,762,0.00014450000026045018
7,select_then_decompose,3,0,381,127,254,802,0.0010137919998669531
7,full_decomposition,4,1,127,127,0,762,0.0001326669998888974
7,select_then_decompose,4,0,381,127,254,802,0.0010192909999204858
7,full_decomposition,5,1,127,127,0,762,0.00013304200001584832
7,select_then_decompose,5,0,381,127,254,802,0.0010126659999514231
7,full_decomposition,6,1,127,127,0,762,0.00013775000024907058
7,select_then_decompose,6,0,381,127,254,802,0.0010139170003640174
7,full_decomposition,7,1,127,127,0,762,0.00013170900001568953
7,select_then_decompose,7,0,381,127,254,802,0.001015208999888273
7,full_decomposition,8,1,127,127,0,762,0.0001325410003119032
7,select_then_decompose,8,0,381,127,254,802,0.0010084590003316407
7,full_decomposition,9,1,127,127,0,762,0.00013187500007916242
7,select_then_decompose,9,0,381,127,254,802,0.0010094580002260045
8,full_decomposition,0,1,255,255,0,1530,0.0002785000001495064
8,select_then_decompose,0,0,765,255,510,1592,0.0029180000001360895
8,full_decomposition,1,1,255,255,0,1530,0.0002743330001067079
8,select_then_decompose,1,0,765,255,510,1592,0.0028961250000065775
8,full_decomposition,2,1,255,255,0,1530,0.0002725420004026091
8,select_then_decompose,2,0,765,255,510,1592,0.0030395829999179114
