run_id,dataset_id,dataset_path,tasks_total,unique_tasks,tests_with_assets,tests_source_provided,tests_source_statement,tests_source_synthesized,status_success,status_failed_tests,status_skipped_non_coding,status_skipped_missing_tests,status_skipped_failed_synth,status_timeout,dominant_task_type,category_code,category,notes
arch_template_arch_only,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,6,6,1,0,1,0,0,0,0,0,0,0,architecture_doc,coding_partial_validation,coding task with partial validation only,"tests_provided=1 (provided=0, statement=1, synthesized=0); dominant_task_type=architecture_doc"
arch_template_check,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,14,14,2,0,2,0,0,0,0,0,0,0,non_actionable,coding_partial_validation,coding task with partial validation only,"tests_provided=2 (provided=0, statement=2, synthesized=0); dominant_task_type=non_actionable"
sample_no_analysis,data_processed_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.csv,9,9,1,0,1,0,0,1,7,0,0,0,,coding_partial_validation,coding task with partial validation only,"tests_provided=1 (provided=0, statement=1, synthesized=0); dominant_task_type=n/a"
topcoder_full_run,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,50,50,4,0,1,3,0,4,45,0,1,0,,coding_partial_validation,coding task with partial validation only,"tests_provided=4 (provided=0, statement=1, synthesized=3); dominant_task_type=n/a"
topcoder_full_run,challenge_data_challengeData_2023-01-01_2023-01-31_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page2.json,14,14,1,0,0,1,0,1,13,0,0,0,,coding_partial_validation,coding task with partial validation only,"tests_provided=1 (provided=0, statement=0, synthesized=1); dominant_task_type=n/a"
topcoder_full_run,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,45,45,5,0,0,5,0,5,34,0,6,0,,coding_partial_validation,coding task with partial validation only,"tests_provided=5 (provided=0, statement=0, synthesized=5); dominant_task_type=n/a"
topcoder_full_run,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,43,43,11,0,2,9,0,11,28,0,4,0,,coding_partial_validation,coding task with partial validation only,"tests_provided=11 (provided=0, statement=2, synthesized=9); dominant_task_type=n/a"
topcoder_full_run,challenge_data_challengeData_2025-06-01_2025-10-08_page3.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page3.json,37,37,13,0,0,13,0,13,19,0,5,0,,coding_partial_validation,coding task with partial validation only,"tests_provided=13 (provided=0, statement=0, synthesized=13); dominant_task_type=n/a"
topcoder_full_run,challenge_data_demoData.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/demoData.json,45,45,5,0,0,5,0,5,34,0,6,0,,coding_partial_validation,coding task with partial validation only,"tests_provided=5 (provided=0, statement=0, synthesized=5); dominant_task_type=n/a"
topcoder_full_run,data_processed_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.csv,189,189,34,0,3,31,0,34,139,0,16,0,,coding_partial_validation,coding task with partial validation only,"tests_provided=34 (provided=0, statement=3, synthesized=31); dominant_task_type=n/a"
