run_id,path,rows,unique_tasks,tests_with_assets
arch_template_arch_only,reports/experiments/arch_template_arch_only/per_problem.csv,15,15,3
arch_template_check,reports/experiments/arch_template_check/per_problem.csv,100,100,14
benchmark_subset,reports/experiments/benchmark_subset/per_problem.csv,50,50,50
sample_no_analysis,reports/experiments/sample_no_analysis/per_problem.csv,50,45,3
topcoder_20260223_123724,reports/experiments/topcoder_20260223_123724/per_problem.csv,66712,22115,50
topcoder_full_run,reports/experiments/topcoder_full_run/per_problem.csv,852,281,191
topcoder_no_llm,reports/experiments/topcoder_no_llm/per_problem.csv,3,3,0
topcoder_present_demo,reports/experiments/topcoder_present_demo/per_problem.csv,10,10,8
topcoder_present_demo_v2,reports/experiments/topcoder_present_demo_v2/per_problem.csv,10,10,9
topcoder_smoke,reports/experiments/topcoder_smoke/per_problem.csv,5,5,0
topcoder_smoke_v2,reports/experiments/topcoder_smoke_v2/per_problem.csv,20,20,0
topcoder_smoke_v3,reports/experiments/topcoder_smoke_v3/per_problem.csv,5,5,0
universal_demo,reports/experiments/universal_demo/per_problem.csv,30,29,19
universal_demo_combined_mock,reports/experiments/universal_demo_combined_mock/per_problem.csv,30,29,5
universal_demo_combined_openai,reports/experiments/universal_demo_combined_openai/per_problem.csv,30,29,5
universal_demo_fix_openai,reports/experiments/universal_demo_fix_openai/per_problem.csv,30,29,5
universal_demo_gate,reports/experiments/universal_demo_gate/per_problem.csv,30,29,5
universal_demo_mock_hardened,reports/experiments/universal_demo_mock_hardened/per_problem.csv,30,29,5
universal_demo_openai_hardened,reports/experiments/universal_demo_openai_hardened/per_problem.csv,30,29,5
universal_demo_v3,reports/experiments/universal_demo_v3/per_problem.csv,30,29,5
universal_demo_v3_openai,reports/experiments/universal_demo_v3_openai/per_problem.csv,30,29,5
