run_id,dataset_id,dataset_path,tasks_total,unique_tasks,tests_with_assets,tests_source_provided,tests_source_statement,tests_source_synthesized,status_success,status_failed_tests,status_skipped_non_coding,status_skipped_missing_tests,status_skipped_failed_synth,status_timeout,dominant_task_type,category_code,category,notes
arch_template_arch_only,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,4,4,0,0,0,0,0,0,0,0,0,0,architecture_doc,architecture_doc_task,architecture/doc task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=architecture_doc"
arch_template_arch_only,challenge_data_challengeData_2023-01-01_2023-01-31_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page2.json,2,2,0,0,0,0,0,0,0,0,0,0,architecture_doc,architecture_doc_task,architecture/doc task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=architecture_doc"
arch_template_arch_only,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,1,1,0,0,0,0,0,0,0,0,0,0,architecture_doc,architecture_doc_task,architecture/doc task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=architecture_doc"
arch_template_check,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,21,21,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
arch_template_check,challenge_data_challengeData_2023-01-01_2023-01-31_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page2.json,8,8,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_combined_mock,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_combined_mock,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,3,3,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_combined_mock,challenge_data_challengeData_2025-06-01_2025-10-08_page3.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page3.json,1,1,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_combined_mock,data_processed_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.csv,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_combined_openai,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_combined_openai,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,3,3,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_combined_openai,challenge_data_challengeData_2025-06-01_2025-10-08_page3.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page3.json,1,1,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_combined_openai,data_processed_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.csv,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_fix_openai,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_fix_openai,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,3,3,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_fix_openai,challenge_data_challengeData_2025-06-01_2025-10-08_page3.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page3.json,1,1,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_fix_openai,data_processed_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.csv,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_gate,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_gate,data_processed_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.csv,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_mock_hardened,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_mock_hardened,data_processed_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.csv,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_openai_hardened,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_openai_hardened,data_processed_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.csv,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_v3,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_v3,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,3,3,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_v3,challenge_data_challengeData_2025-06-01_2025-10-08_page3.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page3.json,1,1,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_v3,data_processed_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.csv,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_v3_openai,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_v3_openai,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,3,3,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_v3_openai,challenge_data_challengeData_2025-06-01_2025-10-08_page3.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page3.json,1,1,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
universal_demo_v3_openai,data_processed_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.csv,4,4,0,0,0,0,0,0,0,0,0,0,data_etl,data_etl_task,data/ETL spec task,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=data_etl"
arch_template_check,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,18,18,0,0,0,0,0,0,0,0,0,0,non_actionable,metadata_only,metadata-only Topcoder challenge,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=non_actionable"
arch_template_check,challenge_data_challengeData_2025-06-01_2025-10-08_page3.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page3.json,15,15,0,0,0,0,0,0,0,0,0,0,non_actionable,metadata_only,metadata-only Topcoder challenge,"tests_provided=0 (provided=0, statement=0, synthesized=0); dominant_task_type=non_actionable"
