method,episode,reward,success,steps,constraint_penalty,token_spent,verifier_calls,budgeted_success,catastrophic_failure,action_entropy
aegis_full,0,48.4621672603352,1.0,5,0.07712320754503901,17700.0,0.0,1.0,0.0,1.332179069519043
aegis_full,1,-200.158570112162,0.0,22,0.09202335569231275,21700.0,0.0,0.0,0.0,0.6631794571876526
aegis_full,2,-56.836625496220805,0.0,8,0.09202335569231275,28100.0,7.0,0.0,0.0,1.5595810413360596
aegis_full,3,17.819472273020207,1.0,13,0.08784233454094309,25400.0,0.0,1.0,0.0,1.524707317352295
aegis_full,4,75.53065558823832,1.0,3,0.05217031000000001,13900.0,0.0,1.0,0.0,0.6365141868591309
aegis_full,5,-26.17247331566729,0.0,15,0.09202335569231275,31450.0,2.0,0.0,0.0,1.6745895147323608
aegis_full,6,48.833695861014704,1.0,11,0.08649148282327009,21050.0,0.0,1.0,0.0,1.6726254224777222
aegis_full,7,45.61031343697468,1.0,6,0.0814697981114816,23250.0,3.0,1.0,0.0,1.5607103109359741
aegis_flat,0,-57.92670641900153,0.0,12,0.09202335569231275,27650.0,13.0,0.0,0.0,1.6762348413467407
aegis_flat,1,-8.990911916204343,0.0,12,0.09202335569231275,27350.0,0.0,0.0,0.0,1.1988493204116821
aegis_flat,2,-88.2051582408839,0.0,10,0.09202335569231275,20350.0,0.0,0.0,0.0,0.8018185496330261
aegis_flat,3,-16.947524859092766,0.0,18,0.09202335569231275,32050.0,2.0,0.0,0.0,1.647918462753296
aegis_reduced,0,43.351563806061336,1.0,10,0.08784233454094309,26100.0,0.0,1.0,0.0,1.6957424879074097
aegis_reduced,1,52.29140626802669,1.0,8,0.0717570463519,14350.0,2.0,1.0,0.0,1.4941749572753906
aegis_reduced,2,-0.8324464685805317,0.0,20,0.09202335569231275,31900.0,1.0,0.0,0.0,1.461635947227478
aegis_reduced,3,-47.445818241526005,0.0,12,0.09202335569231275,28900.0,2.0,0.0,0.0,1.7045514583587646
aegis_no_calibration,0,-32.906051357226694,0.0,10,0.09202335569231275,30600.0,0.0,0.0,0.0,1.3138340711593628
aegis_no_calibration,1,60.69349295153292,1.0,4,0.0717570463519,18450.0,2.0,1.0,0.0,1.0397207736968994
aegis_no_calibration,2,1.2106530587539535,0.0,20,0.09202335569231275,30950.0,3.0,0.0,0.0,1.569191575050354
aegis_no_calibration,3,66.12649300127002,1.0,7,0.056953279000000016,11600.0,0.0,1.0,0.0,1.4750761985778809
aegis_no_graph,0,52.24299145086687,1.0,14,0.0849905364703001,22050.0,0.0,1.0,0.0,1.648846983909607
aegis_no_graph,1,78.76115663137548,1.0,16,0.0849905364703001,25650.0,2.0,1.0,0.0,1.5154123306274414
