state_id,episode,seed,step,teacher_macro,num_candidates,beneficial_candidates,regret_candidates,teacher_reward,teacher_success,teacher_cost_ratio
ep0_step0_seed0,0,,0,research_context,3,2,1,-21.379317605002473,False,0.6477272727272727
ep0_step1_seed0,0,,1,research_context,3,1,2,-8.220216960955465,False,0.6053030303030303
ep0_step2_seed0,0,,2,direct_solve,2,0,2,-9.679002628381243,False,0.6265151515151515
ep0_step3_seed0,0,,3,direct_solve,2,1,1,-28.445377138206425,False,0.6477272727272727
ep0_step4_seed0,0,,4,direct_solve,3,2,1,-33.33794490070911,False,0.6477272727272727
ep0_step5_seed0,0,,5,direct_solve,3,2,1,-36.271910593626686,False,0.6265151515151515
ep0_step6_seed0,0,,6,direct_solve,3,3,0,-37.937690287085694,False,0.6265151515151515
ep0_step7_seed0,0,,7,direct_solve,3,2,1,-41.040203087155035,False,0.6265151515151515
ep0_step8_seed0,0,,8,direct_solve,3,2,1,-46.79388010603312,False,0.6477272727272727
ep0_step9_seed0,0,,9,research_context,3,1,2,19.000809749379712,True,0.6143939393939394
ep0_step10_seed0,0,,10,direct_solve,3,3,0,-51.33436262218256,False,0.6477272727272727
ep0_step11_seed0,0,,11,direct_solve,3,3,0,-56.263894043537164,False,0.6477272727272727
ep0_step12_seed0,0,,12,direct_solve,3,3,0,-59.76671248845064,False,0.6265151515151515
ep0_step13_seed0,0,,13,direct_solve,3,3,0,14.828431334639596,True,0.6143939393939394
ep0_step14_seed0,0,,14,direct_solve,3,2,1,22.98995563226836,True,0.6143939393939394
ep0_step15_seed0,0,,15,decompose_shallow,2,2,0,-30.78385204803351,False,0.6265151515151515
ep0_step16_seed0,0,,16,direct_solve,3,3,0,-32.407382946369935,False,0.6477272727272727
ep0_step17_seed0,0,,17,direct_solve,1,1,0,-32.22380209434734,False,0.6477272727272727
ep0_step18_seed0,0,,18,direct_solve,3,2,1,-28.022328597788068,False,0.6477272727272727
ep0_step19_seed0,0,,19,decompose_shallow,2,1,1,-16.508119883793526,False,0.6265151515151515
ep0_step20_seed0,0,,20,submit,3,1,2,-18.118522031042694,False,0.6477272727272727
ep0_step21_seed0,0,,21,decompose_shallow,1,0,1,-14.414201527264794,False,0.6265151515151515
ep1_step0_seed1,1,,0,research_context,3,3,0,-165.32691759138072,False,0.47575757575757577
ep1_step1_seed1,1,,1,direct_solve,2,2,0,-169.19444919518412,False,0.47575757575757577
ep1_step2_seed1,1,,2,direct_solve,2,2,0,-176.05181148403295,False,0.47575757575757577
ep1_step3_seed1,1,,3,direct_solve,3,3,0,-183.07622077491993,False,0.47575757575757577
ep1_step4_seed1,1,,4,direct_solve,3,3,0,-192.50133232731216,False,0.47575757575757577
ep1_step5_seed1,1,,5,research_context,3,3,0,-196.8920890615943,False,0.47575757575757577
ep1_step8_seed1,1,,8,direct_solve,3,3,0,-202.65775108033083,False,0.47575757575757577
ep1_step9_seed1,1,,9,direct_solve,3,3,0,-196.58799644620944,False,0.47575757575757577
ep1_step10_seed1,1,,10,decompose_shallow,2,1,1,-183.99609058428243,False,0.47575757575757577
ep1_step11_seed1,1,,11,decompose_shallow,2,0,2,-178.23171009401804,False,0.47575757575757577
ep2_step0_seed2,2,,0,research_context,3,3,0,-62.09497668501678,False,0.5856060606060606
ep2_step1_seed2,2,,1,direct_solve,2,1,1,-54.772921237451655,False,0.5643939393939394
ep2_step2_seed2,2,,2,direct_solve,2,2,0,-61.90999062325182,False,0.5643939393939394
ep2_step3_seed2,2,,3,direct_solve,3,3,0,-78.29111474747577,False,0.5856060606060606
ep2_step4_seed2,2,,4,direct_solve,3,3,0,-83.24954336921932,False,0.5856060606060606
ep2_step5_seed2,2,,5,direct_solve,3,3,0,-87.3504140660312,False,0.5856060606060606
ep2_step6_seed2,2,,6,research_context,3,2,1,-84.23190311878923,False,0.5643939393939394
ep2_step7_seed2,2,,7,research_context,3,3,0,-95.7924317655779,False,0.5856060606060606
ep2_step9_seed2,2,,9,direct_solve,3,2,1,-101.54432230462612,False,0.5856060606060606
ep2_step10_seed2,2,,10,direct_solve,3,2,1,-92.39194849692072,False,0.5643939393939394
ep2_step11_seed2,2,,11,direct_solve,3,3,0,-96.64965784503914,False,0.5856060606060606
ep2_step12_seed2,2,,12,direct_solve,3,3,0,-88.50463440066375,False,0.5856060606060606
ep2_step13_seed2,2,,13,decompose_shallow,2,2,0,-73.84055237717789,False,0.5856060606060606
ep2_step14_seed2,2,,14,direct_solve,3,0,3,-64.17315218818692,False,0.5643939393939394
ep2_step15_seed2,2,,15,direct_solve,1,1,0,-74.38046392740961,False,0.5856060606060606
ep2_step16_seed2,2,,16,direct_solve,3,3,0,-70.18627291512804,False,0.5856060606060606
ep2_step17_seed2,2,,17,decompose_shallow,2,1,1,-59.4800829668109,False,0.5856060606060606
ep2_step18_seed2,2,,18,decompose_shallow,2,0,2,-53.57265367187867,False,0.5856060606060606
ep3_step0_seed3,3,,0,research_context,3,2,1,-37.46841010906505,False,0.6227272727272727
ep3_step1_seed3,3,,1,direct_solve,2,0,2,-42.50521280752772,False,0.6015151515151516
ep3_step2_seed3,3,,2,direct_solve,2,0,2,-48.375864111802606,False,0.6227272727272727
ep3_step3_seed3,3,,3,direct_solve,3,0,3,-53.79066576062146,False,0.6227272727272727
ep3_step4_seed3,3,,4,direct_solve,3,2,1,-70.17099042955104,False,0.6424242424242425
ep3_step5_seed3,3,,5,direct_solve,3,2,1,-76.0413246773346,False,0.6424242424242425
ep3_step6_seed3,3,,6,research_context,3,2,1,-70.4376458367141,False,0.6227272727272727
ep3_step8_seed3,3,,8,direct_solve,3,1,2,-87.36911305876994,False,0.6424242424242425
ep3_step9_seed3,3,,9,direct_solve,3,2,1,-88.84690510483865,False,0.6227272727272727
ep3_step10_seed3,3,,10,direct_solve,3,2,1,-88.66737821153882,False,0.6424242424242425
ep3_step11_seed3,3,,11,direct_solve,3,3,0,-80.53032161744858,False,0.6424242424242425
ep3_step12_seed3,3,,12,direct_solve,3,2,1,-70.37268332306037,False,0.6424242424242425
ep3_step13_seed3,3,,13,decompose_shallow,2,2,0,-42.303420277529725,False,0.6227272727272727
ep3_step14_seed3,3,,14,direct_solve,3,3,0,-54.49358056337175,False,0.6424242424242425
ep3_step15_seed3,3,,15,direct_solve,1,1,0,-54.30631068585292,False,0.6424242424242425
ep3_step16_seed3,3,,16,direct_solve,3,2,1,-50.09967185785127,False,0.6424242424242425
ep3_step17_seed3,3,,17,decompose_shallow,2,1,1,-27.98862548268449,False,0.6227272727272727
ep3_step18_seed3,3,,18,direct_solve,3,3,0,-39.85219239787081,False,0.6424242424242425
ep3_step19_seed3,3,,19,direct_solve,1,1,0,-39.63452974272311,False,0.6424242424242425
ep3_step20_seed3,3,,20,submit,3,2,1,-35.40248173343089,False,0.6424242424242425
ep3_step21_seed3,3,,21,submit,3,3,0,-25.954901472707416,False,0.6424242424242425
ep4_step0_seed4,4,,0,research_context,3,2,1,-51.96895536862556,False,0.6227272727272727
ep4_step1_seed4,4,,1,direct_solve,2,0,2,-60.09924607419055,False,0.5818181818181818
ep4_step2_seed4,4,,2,direct_solve,2,0,2,-68.16907470538186,False,0.5818181818181818
ep4_step3_seed4,4,,3,direct_solve,3,1,2,-73.49709282660646,False,0.6227272727272727
ep4_step4_seed4,4,,4,direct_solve,3,1,2,-68.04111382495903,False,0.6015151515151516
ep4_step5_seed4,4,,5,direct_solve,3,1,2,-70.4809052719123,False,0.6015151515151516
ep4_step6_seed4,4,,6,research_context,3,1,2,-89.66980719484124,False,0.6227272727272727
ep4_step8_seed4,4,,8,direct_solve,3,2,1,-81.21803661531894,False,0.6015151515151516
ep4_step9_seed4,4,,9,direct_solve,3,2,1,-91.77252763908652,False,0.5818181818181818
ep4_step10_seed4,4,,10,direct_solve,3,3,0,-81.38000601236931,False,0.6227272727272727
ep4_step11_seed4,4,,11,decompose_shallow,2,2,0,-73.01319679726339,False,0.5818181818181818
ep4_step12_seed4,4,,12,direct_solve,3,2,1,-73.89057225820932,False,0.5818181818181818
ep4_step13_seed4,4,,13,direct_solve,1,0,1,-69.45982391621274,False,0.6227272727272727
ep4_step14_seed4,4,,14,direct_solve,3,3,0,-65.27921507915588,False,0.6227272727272727
ep4_step15_seed4,4,,15,decompose_shallow,2,2,0,-44.204763470285314,False,0.6015151515151516
ep4_step16_seed4,4,,16,direct_solve,3,3,0,-55.367163188096306,False,0.6227272727272727
ep4_step17_seed4,4,,17,decompose_shallow,1,0,1,-44.789317445248,False,0.6015151515151516
ep4_step18_seed4,4,,18,direct_solve,3,3,0,-44.91811522810441,False,0.6015151515151516
ep4_step20_seed4,4,,20,submit,2,1,1,-34.31070929537728,False,0.6015151515151516
ep5_step0_seed5,5,,0,research_context,3,3,0,-57.79684309565379,False,0.6401515151515151
ep5_step1_seed5,5,,1,direct_solve,2,0,1,-54.94638773545458,False,0.578030303030303
ep5_step2_seed5,5,,2,direct_solve,2,1,1,-59.53679714518567,False,0.6189393939393939
ep5_step3_seed5,5,,3,direct_solve,3,2,1,-72.84888551980299,False,0.6401515151515151
ep5_step4_seed5,5,,4,direct_solve,3,1,2,-72.43692345814924,False,0.578030303030303
ep5_step5_seed5,5,,5,direct_solve,3,3,0,-84.12621098432649,False,0.6401515151515151
ep5_step6_seed5,5,,6,research_context,3,2,1,-87.00926952218441,False,0.6401515151515151
ep5_step9_seed5,5,,9,direct_solve,3,2,1,-98.0789220160004,False,0.6401515151515151
ep5_step10_seed5,5,,10,direct_solve,3,3,0,-81.58264534725592,False,0.6189393939393939
ep5_step11_seed5,5,,11,direct_solve,3,2,1,-88.09606024421882,False,0.5992424242424242
ep5_step12_seed5,5,,12,decompose_shallow,2,0,2,-69.1610735935551,False,0.6401515151515151
ep5_step13_seed5,5,,13,direct_solve,3,1,2,-69.9581959638156,False,0.6401515151515151
ep5_step14_seed5,5,,14,decompose_shallow,1,1,0,-63.67194764479555,False,0.578030303030303
ep5_step15_seed5,5,,15,direct_solve,3,1,2,-64.36798097918742,False,0.578030303030303
ep5_step16_seed5,5,,16,direct_solve,1,1,0,-74.56003776576883,False,0.5992424242424242
ep5_step17_seed5,5,,17,direct_solve,3,3,0,-70.35239496978859,False,0.5992424242424242
ep5_step18_seed5,5,,18,decompose_shallow,2,1,1,-59.62719120979568,False,0.5992424242424242
ep5_step19_seed5,5,,19,decompose_shallow,2,0,2,-53.7003765728591,False,0.5992424242424242
ep6_step0_seed6,6,,0,research_context,3,3,0,-31.11832509305936,False,0.6189393939393939
ep6_step1_seed6,6,,1,direct_solve,2,0,2,-39.506348180728864,False,0.6613636363636364
ep6_step2_seed6,6,,2,direct_solve,2,1,1,-44.665904647235045,False,0.6401515151515151
ep6_step3_seed6,6,,3,direct_solve,3,1,2,-49.58227274918643,False,0.6613636363636364
ep6_step4_seed6,6,,4,direct_solve,3,3,0,-63.282797057942304,False,0.6189393939393939
ep6_step5_seed6,6,,5,direct_solve,3,1,2,-61.63298658633885,False,0.6613636363636364
ep6_step6_seed6,6,,6,research_context,3,0,3,2.2331246824285316,True,0.628030303030303
ep6_step9_seed6,6,,9,direct_solve,3,3,0,-75.2901667958852,False,0.6613636363636364
ep6_step10_seed6,6,,10,direct_solve,3,3,0,-69.17693071778729,False,0.6613636363636364
ep6_step11_seed6,6,,11,direct_solve,3,3,0,-61.02942241659836,False,0.6613636363636364
ep6_step12_seed6,6,,12,decompose_shallow,2,2,0,-46.35965235664706,False,0.6613636363636364
ep6_step13_seed6,6,,13,direct_solve,3,0,3,22.125012066333895,True,0.628030303030303
ep6_step14_seed6,6,,14,direct_solve,1,0,0,22.287792268789474,True,0.628030303030303
ep6_step15_seed6,6,,15,direct_solve,3,2,1,-42.78952613253691,False,0.6613636363636364
ep6_step16_seed6,6,,16,decompose_shallow,2,2,0,-31.763110834618388,False,0.6401515151515151
ep6_step17_seed6,6,,17,direct_solve,3,3,0,-32.85403027823875,False,0.6613636363636364
ep6_step18_seed6,6,,18,direct_solve,1,1,0,-32.6262770252725,False,0.6613636363636364
ep6_step19_seed6,6,,19,direct_solve,3,3,0,-28.382039559967403,False,0.6613636363636364
ep6_step20_seed6,6,,20,decompose_shallow,2,2,0,-17.32649866657625,False,0.6401515151515151
ep6_step21_seed6,6,,21,submit,3,1,2,-17.89477830326573,False,0.6401515151515151
ep6_step22_seed6,6,,22,direct_solve,1,1,0,-15.254674458764903,False,0.6613636363636364
ep7_step0_seed7,7,,0,research_context,3,1,2,-15.770074039739578,False,0.6227272727272727
ep7_step1_seed7,7,,1,direct_solve,2,1,1,-41.12781817283276,False,0.6424242424242425
ep7_step2_seed7,7,,2,direct_solve,2,2,0,-22.16559433021728,False,0.6439393939393939
ep7_step3_seed7,7,,3,direct_solve,3,1,2,-26.083697063301763,False,0.6439393939393939
ep7_step4_seed7,7,,4,direct_solve,3,2,1,-51.43532402269867,False,0.6424242424242425
ep7_step5_seed7,7,,5,direct_solve,3,1,2,-33.894961073039966,False,0.6439393939393939
ep7_step6_seed7,7,,6,direct_solve,3,1,2,-38.571356834033324,False,0.6439393939393939
ep7_step7_seed7,7,,7,direct_solve,3,0,3,-43.009364145454136,False,0.6227272727272727
ep7_step8_seed7,7,,8,research_context,3,1,2,-49.193897313057775,False,0.6227272727272727
ep7_step9_seed7,7,,9,direct_solve,3,1,2,-57.4175914872133,False,0.6212121212121212
ep7_step10_seed7,7,,10,direct_solve,3,3,0,-76.27786280731434,False,0.6424242424242425
ep7_step11_seed7,7,,11,direct_solve,3,3,0,-50.324057178935554,False,0.6439393939393939
ep7_step12_seed7,7,,12,direct_solve,3,3,0,-66.35114371731555,False,0.6424242424242425
ep7_step13_seed7,7,,13,decompose_shallow,2,2,0,-53.64278391423393,False,0.6424242424242425
ep7_step14_seed7,7,,14,direct_solve,3,3,0,-54.423795528339625,False,0.6424242424242425
ep7_step15_seed7,7,,15,decompose_shallow,1,1,0,-31.98744784856762,False,0.6439393939393939
ep7_step16_seed7,7,,16,direct_solve,3,2,1,-39.43653836056223,False,0.6212121212121212
ep7_step17_seed7,7,,17,direct_solve,1,0,1,-32.56512314058928,False,0.6439393939393939
ep7_step18_seed7,7,,18,direct_solve,3,2,0,-28.322371556984052,False,0.6439393939393939
