method,seed,episode,step,teacher_macro,chosen_macro,reward,override,win,regret,reason
cstride_gate_only,0,29,1,research_context,decompose_shallow,2.162632976529627,1,1,0,cstride_gate_only
cstride_gate_only,0,30,1,research_context,decompose_shallow,2.1686024089418563,1,1,0,cstride_gate_only
cstride_gate_only,0,31,1,research_context,decompose_shallow,2.174471999181915,1,1,0,cstride_gate_only
cstride_gate_only,1,0,1,research_context,decompose_shallow,2.1598035885300786,1,1,0,cstride_gate_only
cstride_gate_only,1,1,1,research_context,decompose_shallow,2.165384257860794,1,1,0,cstride_gate_only
cstride_gate_only,1,2,1,research_context,decompose_shallow,2.1708732336332495,1,1,0,cstride_gate_only
cstride_gate_only,1,3,1,research_context,decompose_shallow,2.176272139885508,1,1,0,cstride_gate_only
cstride_gate_only,1,4,1,research_context,decompose_shallow,2.181582583971498,1,1,0,cstride_gate_only
cstride_gate_only,1,5,1,research_context,decompose_shallow,2.1868061555600593,1,1,0,cstride_gate_only
cstride_gate_only,1,6,1,research_context,decompose_shallow,2.1919444257460317,1,1,0,cstride_gate_only
cstride_gate_only,1,7,1,research_context,decompose_shallow,2.196998946265875,1,1,0,cstride_gate_only
cstride_gate_only,1,8,1,research_context,decompose_shallow,2.2019712488107017,1,1,0,cstride_gate_only
cstride_gate_only,1,9,1,research_context,decompose_shallow,2.206862844429933,1,1,0,cstride_gate_only
cstride_gate_only,1,10,1,research_context,decompose_shallow,2.211675223019169,1,1,0,cstride_gate_only
cstride_gate_only,1,11,1,research_context,decompose_shallow,2.216409852886171,1,1,0,cstride_gate_only
cstride_gate_only,1,12,1,research_context,decompose_shallow,2.221068180389217,1,1,0,cstride_gate_only
cstride_gate_only,1,13,1,research_context,decompose_shallow,2.225651629642381,1,1,0,cstride_gate_only
cstride_gate_only,1,14,1,research_context,decompose_shallow,2.2301616022826303,1,1,0,cstride_gate_only
cstride_gate_only,1,15,1,research_context,decompose_shallow,2.2345994772939024,1,1,0,cstride_gate_only
cstride_gate_only,1,16,1,research_context,decompose_shallow,2.2389666108836286,1,1,0,cstride_gate_only
cstride_gate_only,1,17,1,research_context,decompose_shallow,2.2432643364074405,1,1,0,cstride_gate_only
cstride_gate_only,1,18,1,research_context,decompose_shallow,2.24749396433806,1,1,0,cstride_gate_only
cstride_gate_only,1,19,1,research_context,decompose_shallow,2.2516567822746167,1,1,0,cstride_gate_only
cstride_gate_only,1,20,1,research_context,decompose_shallow,2.2557540549888873,1,1,0,cstride_gate_only
