method,seed,episode,step,teacher_macro,chosen_macro,reward,override,win,regret,reason
cstride_without_teacher_confidence,0,0,1,research_context,verify,-13.87337860001848,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,0,9,direct_solve,repair,1.6588684026768696,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,0,11,verify,repair,2.579061182546855,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,0,12,verify,repair,2.548692183959604,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,0,13,verify,repair,1.531401096255638,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,0,14,verify,repair,1.321062494061525,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,0,15,verify,repair,-1.5155031704569972,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,0,16,verify,repair,-1.5286259458048503,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,0,17,verify,repair,-6.040464785629651,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,0,18,verify,repair,-7.5510009036652335,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,0,19,verify,repair,-9.060643796746138,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,0,20,submit,repair,-10.569180463603715,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,0,21,submit,repair,-27.07697306078257,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,1,1,research_context,verify,-13.883817914015316,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,1,9,direct_solve,repair,1.6484038301345045,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,1,11,verify,repair,2.568594096376494,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,1,12,verify,repair,2.5382237417186655,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,1,13,verify,repair,1.520932027989015,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,1,14,verify,repair,1.310592961915659,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,1,15,verify,repair,-1.5259728820213208,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,1,16,verify,repair,-1.5390953178594442,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,1,17,verify,repair,-6.050933425336532,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,1,18,verify,repair,-7.561468580244924,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,1,19,verify,repair,-9.071110277341605,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,1,20,submit,repair,-10.579645705986866,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,1,21,submit,repair,-27.087436954416827,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,2,1,research_context,verify,-13.89415976232487,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,2,9,direct_solve,repair,1.6380463984127966,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,2,11,verify,repair,2.558235778695413,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,2,12,verify,repair,2.5278653034364478,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,2,13,verify,repair,1.510573771246137,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,2,14,verify,repair,1.3002351725955597,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,2,15,verify,repair,-1.5363295373020094,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,2,16,verify,repair,-1.549450409086647,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,2,17,verify,repair,-6.061286678707323,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,2,18,verify,repair,-7.571819914693971,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,2,19,verify,repair,-9.081459511790486,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,2,20,submit,repair,-10.589992933062776,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,2,21,submit,repair,-27.097782110783587,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,3,1,research_context,verify,-13.90440049964707,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,3,9,direct_solve,repair,1.6277979956565922,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,3,11,verify,repair,2.5479880676000235,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,3,12,verify,repair,2.5176186684562456,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,3,13,verify,repair,1.500328099678727,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,3,14,verify,repair,1.2899908697674853,1,1,0,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,3,15,verify,repair,-1.5465714355800628,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,3,16,verify,repair,-1.559689559508804,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,3,17,verify,repair,-6.071522923134382,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,3,18,verify,repair,-7.582053317170007,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,3,19,verify,repair,-9.09168994163442,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,3,20,submit,repair,-10.600220613379989,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,3,21,submit,repair,-27.10800702403828,1,0,1,cstride_without_teacher_confidence
cstride_without_teacher_confidence,0,4,1,research_context,verify,-13.914537810744378,1,0,1,cstride_without_teacher_confidence
