method,seed,episode,reward,success,steps,cost_ratio,budgeted_success,override_rate,override_win_rate,override_regret_rate,harmful_fraction,beneficial_fraction,action_entropy
stride_gate_plus_residual,0,0,69.12772608894562,1.0,12,0.328030303030303,1.0,0.3333333333333333,0.75,0.0,0.0,0.75,1.2650014162063599
stride_gate_plus_residual,0,1,-27.011082983239696,0.0,21,0.49242424242424243,0.0,0.5714285714285714,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.4166666666666667,1.3923981189727783
stride_gate_plus_residual,0,2,78.32925348283479,1.0,8,0.22348484848484848,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_gate_plus_residual,0,3,76.4478270532515,1.0,9,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.8486855626106262
stride_gate_plus_residual,0,4,31.53700779440244,1.0,10,0.3696969696969697,1.0,0.4,0.5,0.5,0.5,0.5,1.5047882795333862
stride_gate_plus_residual,0,5,82.46695552799999,1.0,7,0.19015151515151515,1.0,0.0,0.0,0.0,0.0,0.0,0.9556998610496521
stride_gate_plus_residual,0,6,75.29928822035318,1.0,11,0.2787878787878788,1.0,0.36363636363636365,1.0,0.0,0.0,1.0,1.468139886856079
stride_gate_plus_residual,0,7,64.77484928150247,1.0,9,0.24696969696969698,1.0,0.2222222222222222,1.0,0.0,0.0,1.0,1.4270610809326172
stride_gate_plus_residual,0,8,-66.99743344284536,0.0,22,0.503030303030303,0.0,0.6363636363636364,0.35714285714285715,0.6428571428571429,0.6428571428571429,0.35714285714285715,1.2603237628936768
stride_gate_plus_residual,0,9,78.6276076442542,1.0,10,0.30454545454545456,1.0,0.0,0.0,0.0,0.0,0.0,0.9502705335617065
stride_gate_plus_residual,0,10,-9.6792806927243,0.0,21,0.5416666666666666,0.0,0.5714285714285714,0.5,0.5,0.5,0.5,1.0466305017471313
stride_gate_plus_residual,0,11,81.14219036090073,1.0,7,0.20606060606060606,1.0,0.0,0.0,0.0,0.0,0.0,0.9556998610496521
stride_gate_plus_residual,0,12,79.02576830444033,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473527908325
stride_gate_plus_residual,0,13,78.01119849603573,1.0,9,0.25681818181818183,1.0,0.0,0.0,0.0,0.0,0.0,0.8486855626106262
stride_gate_plus_residual,0,14,77.00576032713833,1.0,10,0.29015151515151516,1.0,0.0,0.0,0.0,0.0,0.0,0.8018186092376709
