method,seed,episode,step,teacher_macro,chosen_macro,reward,override,win,regret,reason
stride_cost_aware,0,0,8,verify,repair,1.0452134410589882,1,1,0,stride_cost_aware
stride_cost_aware,0,0,9,verify,repair,1.3675450245654175,1,1,0,stride_cost_aware
stride_cost_aware,0,0,10,verify,repair,0.3567765165447192,1,1,0,stride_cost_aware
stride_cost_aware,0,0,11,verify,repair,-2.9488933026332442,1,0,1,stride_cost_aware
stride_cost_aware,0,0,12,verify,repair,-7.467364149540549,1,0,1,stride_cost_aware
stride_cost_aware,0,0,13,verify,repair,-8.984463579541057,1,0,1,stride_cost_aware
stride_cost_aware,0,0,14,verify,repair,-10.499248838800494,1,0,1,stride_cost_aware
stride_cost_aware,0,0,15,verify,repair,-10.512086629782122,1,0,1,stride_cost_aware
stride_cost_aware,0,0,16,verify,repair,-12.023272703605425,1,0,1,stride_cost_aware
stride_cost_aware,0,0,17,verify,repair,-13.53277374556472,1,0,1,stride_cost_aware
stride_cost_aware,0,0,18,verify,repair,-15.041459438775913,1,0,1,stride_cost_aware
stride_cost_aware,0,0,19,verify,repair,-16.549590468448677,1,0,1,stride_cost_aware
stride_cost_aware,0,0,20,submit,repair,-18.05696832045716,1,0,1,stride_cost_aware
stride_cost_aware,0,0,21,submit,repair,-34.563608987591934,1,0,1,stride_cost_aware
stride_cost_aware,0,1,8,verify,repair,-0.7143103875370496,1,0,1,stride_cost_aware
stride_cost_aware,0,1,9,verify,repair,2.293202964689076,1,1,0,stride_cost_aware
stride_cost_aware,0,1,10,verify,repair,4.0816519180017385,1,1,0,stride_cost_aware
stride_cost_aware,0,1,11,verify,direct_solve,2.3182723779842473,1,1,0,stride_cost_aware
stride_cost_aware,1,1,8,verify,research_context,1.5502317648705746,1,1,0,stride_cost_aware
stride_cost_aware,2,0,12,verify,repair,2.796187982344265,1,1,0,stride_cost_aware
stride_cost_aware,2,0,13,verify,repair,1.9559901781774933,1,1,0,stride_cost_aware
stride_cost_aware,2,0,14,verify,repair,-3.0003424091453805,1,0,1,stride_cost_aware
stride_cost_aware,2,0,15,verify,repair,0.8131306945971317,1,1,0,stride_cost_aware
stride_cost_aware,2,0,16,verify,repair,0.1266794765724053,1,1,0,stride_cost_aware
stride_cost_aware,2,0,17,verify,repair,-1.540799088937105,1,0,1,stride_cost_aware
stride_cost_aware,2,0,18,verify,repair,-6.051964141327222,1,0,1,stride_cost_aware
stride_cost_aware,2,0,19,verify,repair,-7.562075277913463,1,0,1,stride_cost_aware
stride_cost_aware,2,0,20,verify,research_context,2.051312891939193,1,1,0,stride_cost_aware
stride_cost_aware,3,0,11,verify,repair,-0.9929905014176703,1,0,1,stride_cost_aware
stride_cost_aware,3,0,12,verify,repair,2.4493631539215563,1,1,0,stride_cost_aware
