method,seed,episode,step,teacher_macro,chosen_macro,reward,override,win,regret,reason
stride_gate_plus_residual,0,0,8,verify,repair,1.0452134410589882,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,0,9,verify,repair,1.3675450245654175,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,0,10,verify,submit,39.81743174751897,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,1,8,verify,repair,-0.6933205457423381,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,1,9,verify,repair,2.3141977125186943,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,1,10,verify,repair,4.102649112019267,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,1,11,verify,repair,1.5473797951681707,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,1,12,verify,repair,0.9945002007762084,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,1,13,verify,repair,-1.4705241164403284,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,1,14,verify,submit,45.14952277408318,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,1,8,verify,submit,39.26077527310467,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,2,0,12,verify,repair,2.796187982344265,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,2,0,13,verify,repair,1.9559901781774933,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,2,0,14,verify,repair,-3.0003424091453805,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,2,0,15,verify,repair,0.8131306945971317,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,2,0,16,verify,repair,0.1266794765724053,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,2,0,17,verify,repair,-1.540799088937105,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,2,0,18,verify,repair,-6.051964141327222,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,2,0,19,verify,research_context,1.2883896198131377,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,2,0,21,submit,repair,-1.5730573752133628,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,2,0,22,submit,repair,-22.579679437847453,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,0,11,verify,direct_solve,1.5456290434872495,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,0,13,verify,repair,3.7384363685917394,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,0,14,verify,repair,1.2398402356443516,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,0,15,verify,repair,0.4164223152107217,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,0,16,verify,repair,-1.5251580927524577,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,0,17,verify,repair,-6.036814573828873,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,0,18,verify,submit,32.209641211449124,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,2,9,verify,repair,4.660189751982959,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,2,10,verify,repair,-1.0879741697971776,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,2,11,verify,repair,1.5168200120137623,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,2,12,verify,direct_solve,1.1008310017695306,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,2,14,verify,repair,-1.4625224014298137,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,2,15,verify,repair,-5.976796385784963,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,2,16,verify,repair,-7.48943695480446,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,2,17,verify,repair,-9.000625797466048,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,2,18,verify,repair,-10.510488198629865,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,2,19,verify,repair,-12.019434410035734,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,2,20,verify,repair,-13.527803723201647,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,2,21,submit,repair,-15.035076589677146,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,2,22,submit,repair,-33.04173227242637,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,3,10,verify,repair,5.631125211213676,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,3,11,verify,repair,1.6663597808199857,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,3,12,verify,repair,1.658963389004175,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,3,13,verify,repair,0.19377412429760704,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,3,14,verify,repair,-1.4751662989803582,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,3,15,verify,repair,-7.4913085496544545,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,3,16,verify,repair,-7.505987190836265,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,3,17,verify,repair,-9.019316321870246,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,3,18,verify,repair,-10.531369926966226,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,3,19,verify,repair,-13.542227493801125,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,3,20,verify,repair,-13.551706655401933,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,3,21,verify,repair,-15.060471662175098,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,3,22,submit,submit,30.068088723296835,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,0,10,verify,repair,3.42127242166044,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,0,11,verify,repair,-2.937398302752391,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,4,0,12,verify,research_context,0.9449438883861896,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,0,14,verify,repair,0.904264224983482,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,0,15,verify,repair,-3.00013570676999,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,4,0,16,verify,repair,0.19565641904359465,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,0,17,verify,repair,-7.523583332116241,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,4,0,18,verify,repair,-7.533402269656371,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,4,0,19,verify,submit,30.71599012919493,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,3,8,verify,repair,4.283528838136739,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,3,9,verify,repair,2.7431149238665267,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,3,10,verify,repair,0.8785950637681623,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,3,11,verify,repair,1.4367225329577191,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,3,12,verify,direct_solve,0.5223101260911014,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,3,14,verify,submit,37.54405607218882,1,1,0,stride_gate_plus_residual
