method,seed,episode,step,teacher_macro,chosen_macro,reward,override,win,regret,reason
stride_gate_plus_residual_plus_curriculum,0,0,8,verify,repair,1.0452134410589882,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,9,verify,repair,1.3675450245654175,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,10,verify,repair,0.3567765165447192,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,11,verify,repair,-2.9488933026332442,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,12,verify,repair,-7.467364149540549,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,13,verify,repair,-8.984463579541057,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,14,verify,repair,-10.499248838800494,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,15,verify,decompose_shallow,0.8618886732815195,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,17,decompose_shallow,direct_solve,-0.1602095647967334,1,0,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,8,verify,repair,-0.7148700104898469,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,9,verify,submit,45.213431194200126,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,8,verify,repair,3.518744255633554,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,9,verify,repair,1.8885240961072196,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,10,verify,repair,2.03776233666474,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,11,verify,repair,-2.9319231166491897,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,12,verify,repair,0.7433256965979215,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,13,verify,repair,-1.4663723909745263,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,14,verify,repair,-2.981466635404179,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,15,verify,repair,-5.994740047508879,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,16,verify,repair,-7.506357880891999,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,17,verify,research_context,1.5580894201342292,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,18,verify,repair,-1.5255815608943903,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,19,verify,repair,-1.5342428577073695,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,20,submit,direct_solve,-4.698923004077761,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,21,submit,submit,-25.90647531494779,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,2,9,verify,repair,2.9570920242288503,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,2,10,verify,submit,45.21283880226987,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,2,0,12,verify,repair,2.796187982344265,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,2,0,13,verify,submit,45.147887420684306,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,2,3,9,verify,repair,3.0036099739120585,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,2,3,10,verify,research_context,1.4506990514903255,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,0,11,verify,repair,-0.9929905014176703,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,0,12,verify,repair,2.4493631539215563,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,0,13,verify,repair,2.6421492815626526,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,0,14,verify,repair,1.236536488872885,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,0,15,verify,repair,0.2825067214321112,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,0,16,verify,research_context,1.6312452827121589,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,0,17,verify,repair,-1.5406908281877483,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,0,18,verify,direct_solve,-0.2083342693653514,1,0,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,0,20,verify,repair,-9.067592961782832,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,0,21,submit,repair,-9.075412754360338,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,0,22,submit,repair,-27.08279389623854,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,2,9,verify,repair,4.639254908034478,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,2,10,verify,repair,-1.1089153885894807,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,2,11,verify,repair,1.4958772344125166,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,2,12,verify,repair,1.236893426198943,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,2,13,verify,repair,-1.4717910573095137,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,2,14,verify,repair,-1.488360379093842,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,2,15,verify,direct_solve,-4.6598949186104175,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,2,16,verify,repair,-7.516202405693464,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,2,17,verify,decompose_shallow,0.8547169400958414,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,2,19,decompose_shallow,direct_solve,-0.17848647887172758,1,0,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,3,10,verify,repair,5.631524871916945,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,3,11,verify,repair,1.6667594834714812,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,3,12,verify,repair,1.6593631568331753,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,3,3,13,verify,submit,28.33835065925509,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,0,10,verify,repair,3.42127242166044,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,0,11,verify,repair,-2.937398302752391,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,0,12,verify,repair,0.9041370853446921,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,0,13,verify,repair,0.2640765165775587,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,0,14,verify,repair,-1.4906909416378513,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,0,15,verify,repair,-7.5055503330040025,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,0,16,verify,research_context,1.1561949325585563,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,0,17,verify,direct_solve,-0.1881647725847367,1,0,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,0,18,verify,repair,-1.5418134703039181,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,0,19,verify,direct_solve,-4.707553875602231,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,0,20,verify,repair,-7.559132414087088,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,0,21,submit,repair,-9.066794814118618,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,0,22,submit,research_context,-14.072926768647806,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,3,8,verify,repair,4.262920513763843,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,3,9,verify,repair,2.7224985308081076,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,3,10,verify,repair,0.8579729681445475,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,3,11,verify,repair,1.4160977546885185,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,3,12,verify,research_context,1.7481917700020206,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,3,13,verify,repair,0.6417971518514229,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,4,3,14,verify,decompose_shallow,0.9045187073926549,1,1,0,stride_gate_plus_residual_plus_curriculum
