method,seed,episode,reward,success,steps,cost_ratio,budgeted_success,override_rate,override_win_rate,override_regret_rate,harmful_fraction,beneficial_fraction,action_entropy
stride_gate_plus_residual,0,0,66.28514772640753,1.0,12,0.3159090909090909,1.0,0.4166666666666667,0.8,0.2,0.2,0.8,1.4451860189437866
stride_gate_plus_residual,0,1,49.94457567963668,1.0,8,0.23863636363636365,1.0,0.0,0.0,0.0,0.0,0.0,1.082195520401001
stride_gate_plus_residual,0,2,78.49799389505296,1.0,8,0.22348484848484848,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_gate_plus_residual,0,3,76.63537004239143,1.0,9,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.8486855626106262
stride_gate_plus_residual,1,0,75.56629387455129,1.0,8,0.23939393939393938,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_gate_plus_residual,1,1,59.98981142719313,1.0,8,0.23106060606060605,1.0,0.0,0.0,0.0,0.0,0.0,0.9743147492408752
stride_gate_plus_residual,1,2,80.24653116059173,1.0,9,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.8486855626106262
stride_gate_plus_residual,1,3,76.44517775717328,1.0,7,0.20606060606060606,1.0,0.0,0.0,0.0,0.0,0.0,0.9556998610496521
stride_gate_plus_residual,2,0,-24.348598732275356,0.0,22,0.5484848484848485,0.0,0.45454545454545453,0.3,0.7,0.7,0.3,1.2124354839324951
stride_gate_plus_residual,2,1,80.2557148267898,1.0,8,0.23939393939393938,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_gate_plus_residual,2,2,77.94980297468297,1.0,8,0.22348484848484848,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_gate_plus_residual,2,3,79.00517253719454,1.0,9,0.25681818181818183,1.0,0.0,0.0,0.0,0.0,0.0,0.8486855626106262
stride_gate_plus_residual,3,0,55.71352276589831,1.0,17,0.46515151515151515,1.0,0.4117647058823529,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143,1.3180238008499146
stride_gate_plus_residual,3,1,76.28484082632019,1.0,8,0.23939393939393938,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_gate_plus_residual,3,2,68.97277991746068,1.0,12,0.3015151515151515,1.0,0.16666666666666666,0.5,0.5,0.5,0.5,1.236685037612915
stride_gate_plus_residual,3,3,55.794568122790736,1.0,20,0.48484848484848486,1.0,0.45,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.44755220413208
stride_gate_plus_residual,4,0,55.565692077691025,1.0,17,0.425,1.0,0.4117647058823529,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5714285714285714,1.3745691776275635
stride_gate_plus_residual,4,1,76.4017999219881,1.0,7,0.20606060606060606,1.0,0.0,0.0,0.0,0.0,0.0,0.9556998610496521
stride_gate_plus_residual,4,2,76.40084574231622,1.0,8,0.22348484848484848,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_gate_plus_residual,4,3,32.500271607234666,1.0,9,0.28106060606060607,1.0,0.1111111111111111,1.0,0.0,0.0,1.0,0.9649629592895508
