method,seed,episode,step,teacher_macro,chosen_macro,reward,override,win,regret,reason
stride_gate_plus_residual,0,0,7,verify,repair,2.015650488877573,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,0,8,verify,repair,0.7656757207465734,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,0,9,verify,repair,-1.3986631114234318,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,0,10,verify,repair,-1.4202232018934455,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,0,11,verify,repair,-5.939660410118483,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,0,12,verify,repair,-7.459832578949529,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,0,13,verify,repair,-8.978480491434102,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,0,14,verify,decompose_shallow,0.8388235655018415,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,1,7,verify,repair,5.0217095483303344,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,1,8,verify,repair,2.296177970448511,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,1,9,verify,repair,0.71910968524929,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,1,10,verify,repair,0.7357718167558467,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,1,11,verify,direct_solve,0.8961964644732081,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,1,12,verify,direct_solve,-4.1257466494462856,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,1,13,verify,repair,-1.4879736172558282,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,1,14,verify,repair,-6.005415854411724,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,1,15,verify,repair,-7.520328520392514,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,1,16,verify,repair,-9.033523067055715,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,1,17,verify,repair,-12.04494906918025,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,1,18,verify,submit,34.5808290511344,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,2,8,verify,repair,4.1207393499511165,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,2,9,verify,repair,1.3715156641574437,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,2,10,verify,repair,0.8262612033518718,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,2,11,verify,repair,-1.4172266918700824,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,2,12,verify,submit,45.197316807896456,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,3,9,verify,repair,4.512992684954349,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,3,10,verify,repair,2.2011323573030523,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,3,11,verify,repair,1.8038752889648217,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,3,12,verify,repair,-1.4422818077996435,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,3,13,verify,repair,-1.4607126551159948,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,3,14,verify,repair,-5.977166423460102,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,3,15,verify,repair,-7.491920594737735,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,3,16,verify,repair,-9.005162691093378,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,3,17,verify,repair,-12.017022404318851,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,3,18,verify,repair,-12.027409996877749,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,3,19,verify,repair,-13.53662711840801,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,3,20,verify,repair,-16.545323104245014,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,3,21,submit,repair,-16.5529355751193,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,3,22,submit,repair,-33.059741269283265,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,4,6,verify,repair,3.475245396844349,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,4,7,verify,direct_solve,3.1156344276628385,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,0,8,verify,repair,3.2133925911114707,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,0,9,verify,repair,-3.0799589535600247,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,0,10,verify,repair,3.613430202013188,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,0,11,verify,repair,1.907078536347605,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,0,12,verify,repair,0.701532884659174,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,0,13,verify,repair,-1.4489930628314105,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,0,14,verify,repair,-2.966823065215139,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,0,15,verify,repair,-5.982993714174466,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,0,16,verify,repair,-7.497333775594412,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,0,17,verify,repair,-9.010031697023742,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,0,18,verify,repair,-10.521037573593814,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,0,19,verify,repair,-12.03133191626093,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,0,20,verify,repair,-13.540519268191588,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,0,21,verify,repair,-15.048998881463408,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,0,22,submit,repair,-16.556477159440785,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,0,23,submit,repair,-34.56315699843164,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,1,8,verify,repair,4.753036059319243,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,1,9,verify,repair,2.0559937212043584,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,1,10,verify,repair,0.5407404466586219,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,1,11,verify,repair,-1.4398701584203348,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,1,12,verify,submit,45.176424555583914,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,2,8,verify,repair,4.02732165663736,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,2,9,verify,repair,0.26209361983855656,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,2,10,verify,research_context,1.8316939490100799,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,2,11,verify,repair,-1.4419739587173543,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,2,12,verify,repair,-1.4622955180539574,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,2,13,verify,repair,-5.981092699535811,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,2,14,verify,repair,-7.497680714559468,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,2,15,verify,repair,-9.012448082987703,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,2,16,verify,repair,-10.525511255057143,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,2,17,verify,repair,-12.03721155654345,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,2,18,verify,repair,-13.547190362803029,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,2,19,verify,repair,-15.05620521678969,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,2,20,verify,repair,-16.56407917605575,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,2,21,submit,repair,-18.071277985541293,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,2,22,submit,repair,-34.57788586619961,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,3,8,verify,repair,4.569544962767498,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,3,9,verify,repair,-0.8472350136329992,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,3,10,verify,direct_solve,2.559548197162096,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,1,3,12,verify,repair,-1.4726356951906785,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,3,13,verify,repair,-5.991291604669106,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,3,14,verify,repair,-9.007982621509745,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,3,15,verify,repair,-9.022858091880769,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,3,16,verify,repair,-10.53605648788456,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,3,17,verify,repair,-12.047526281188558,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,3,18,verify,repair,-13.557718044942137,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,3,19,verify,repair,-15.066934979341777,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,3,20,verify,repair,-16.57498922442711,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,3,21,submit,repair,-18.08233795948306,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,3,22,submit,repair,-34.58879268941578,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,1,4,8,verify,direct_solve,4.811634856163323,1,1,0,stride_gate_plus_residual
