method,seed,episode,step,teacher_macro,chosen_macro,reward,override,win,regret,reason
stride_gate_plus_residual_plus_curriculum,0,0,7,verify,repair,2.015650488877573,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,8,verify,repair,0.7656757207465734,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,9,verify,decompose_shallow,0.9472918234473318,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,14,verify,repair,-8.971581536185123,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,15,verify,repair,-11.985478544268325,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,16,verify,repair,-11.997613395435973,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,17,verify,repair,-15.007963772424299,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,18,verify,repair,-15.017409356889733,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,19,verify,repair,-16.525841891936878,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,20,verify,repair,-18.03347182483401,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,21,submit,repair,-19.540902598208074,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,0,22,submit,repair,-36.0477426085301,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,8,verify,repair,-0.7144788861745897,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,9,verify,repair,2.293034440436334,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,10,verify,repair,4.081483381501383,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,11,verify,direct_solve,2.318103878364318,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,12,verify,repair,-1.4749032639913966,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,13,verify,repair,-1.4922274673338978,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,14,verify,repair,-6.008316774400631,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,15,verify,repair,-9.022000422884869,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,16,verify,repair,-9.034077334640124,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,17,verify,repair,-10.544485794598538,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,18,verify,repair,-12.053912945896,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,19,verify,repair,-15.062728076141799,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,20,submit,repair,-15.070827630992657,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,1,21,submit,repair,-31.578121032781883,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,2,8,verify,decompose_shallow,1.0083123518320793,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,2,17,verify,decompose_shallow,-4.314197341528851,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,2,21,verify,repair,-11.989966436563853,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,2,22,submit,submit,33.130850458409206,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,3,9,verify,repair,4.492135041744957,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,3,10,verify,repair,2.180271604190759,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,3,11,verify,repair,1.7830136512161434,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,3,12,verify,repair,-1.463149534222573,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,3,13,verify,repair,-1.4815851911622984,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,3,14,verify,repair,-5.998042106166096,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,3,15,verify,repair,-7.51279825409519,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,3,16,verify,repair,-9.026041466478684,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,3,17,verify,decompose_shallow,0.7969929349233216,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,3,21,submit,repair,-9.050469692942817,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,3,22,submit,decompose_shallow,-14.17679884022808,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,4,7,verify,repair,4.250851003668417,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,4,8,verify,repair,-0.45248200441740116,1,0,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,4,9,verify,repair,-11.523778705937875,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,4,10,verify,repair,-16.053307406476268,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,0,4,11,verify,repair,-37.037407370499245,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,8,verify,repair,4.773822672769945,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,9,verify,repair,2.0767819164180685,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,10,verify,repair,0.5615328555387774,1,1,0,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,11,verify,repair,-1.4190732573591764,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,12,verify,repair,-1.4389033617478346,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,13,verify,repair,-5.957210313750351,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,14,verify,repair,-7.473424189935402,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,15,verify,repair,-8.987773548865606,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,16,verify,repair,-10.50056326449608,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,17,verify,repair,-12.011874382097048,1,0,1,stride_gate_plus_residual_plus_curriculum
stride_gate_plus_residual_plus_curriculum,1,1,18,verify,repair,-13.521661069612865,1,0,1,stride_gate_plus_residual_plus_curriculum
